Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","840","United States of America","5510","Production","01704","Lentils, dry","2013","2013","tonnes","227660","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01704","Lentils, dry","2014","2014","tonnes","156310","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01704","Lentils, dry","2015","2015","tonnes","239320","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01704","Lentils, dry","2016","2016","tonnes","580330","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01704","Lentils, dry","2017","2017","tonnes","339380","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01704","Lentils, dry","2018","2018","tonnes","381380","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01704","Lentils, dry","2019","2019","tonnes","244400","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01704","Lentils, dry","2020","2020","tonnes","335570","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01704","Lentils, dry","2021","2021","tonnes","150910","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01214","Lettuce and chicory","2001","2001","hg/ha","371322","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01214","Lettuce and chicory","2002","2002","hg/ha","378198","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01214","Lettuce and chicory","2003","2003","hg/ha","366719","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01214","Lettuce and chicory","2004","2004","hg/ha","377442","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01214","Lettuce and chicory","2005","2005","hg/ha","376137","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01214","Lettuce and chicory","2006","2006","hg/ha","357129","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01214","Lettuce and chicory","2007","2007","hg/ha","360571","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01214","Lettuce and chicory","2008","2008","hg/ha","356314","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01214","Lettuce and chicory","2009","2009","hg/ha","363475","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01214","Lettuce and chicory","2010","2010","hg/ha","386480","A","Official figure"
