Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01341","Apples","2011","2011","tonnes","833249","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01341","Apples","2012","2012","tonnes","870185","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01341","Apples","2013","2013","tonnes","890463","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01341","Apples","2014","2014","tonnes","888632.28","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01341","Apples","2015","2015","tonnes","989083.1","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01341","Apples","2016","2016","tonnes","776652.09","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01341","Apples","2017","2017","tonnes","910291.94","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01341","Apples","2018","2018","tonnes","928834.59","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01341","Apples","2019","2019","tonnes","833086.95","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01341","Apples","2020","2020","tonnes","808118","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01341","Apples","2021","2021","tonnes","752737.73","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01341","Apples","2001","2001","1000 US$","411697","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01341","Apples","2002","2002","1000 US$","379786","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01341","Apples","2003","2003","1000 US$","364425","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01341","Apples","2004","2004","1000 US$","383729","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01341","Apples","2005","2005","1000 US$","499600","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01341","Apples","2006","2006","1000 US$","549283","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01341","Apples","2007","2007","1000 US$","651292","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01341","Apples","2008","2008","1000 US$","749286","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01341","Apples","2009","2009","1000 US$","761792","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01341","Apples","2010","2010","1000 US$","839164","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01341","Apples","2011","2011","1000 US$","952814","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01341","Apples","2012","2012","1000 US$","1083975","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01341","Apples","2013","2013","1000 US$","1120563","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01341","Apples","2014","2014","1000 US$","1086086","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01341","Apples","2015","2015","1000 US$","1026305","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01341","Apples","2016","2016","1000 US$","935496","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01341","Apples","2017","2017","1000 US$","977373","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01341","Apples","2018","2018","1000 US$","1016258","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01341","Apples","2019","2019","1000 US$","961620","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01341","Apples","2020","2020","1000 US$","855305","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01341","Apples","2021","2021","1000 US$","916434","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01343","Apricots","2001","2001","tonnes","1834","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01343","Apricots","2002","2002","tonnes","2633","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01343","Apricots","2003","2003","tonnes","1940","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01343","Apricots","2004","2004","tonnes","1757","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01343","Apricots","2005","2005","tonnes","1900","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01343","Apricots","2006","2006","tonnes","2423","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01343","Apricots","2007","2007","tonnes","1824","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01343","Apricots","2008","2008","tonnes","2383","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01343","Apricots","2009","2009","tonnes","1104","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01343","Apricots","2010","2010","tonnes","1554","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01343","Apricots","2011","2011","tonnes","1422","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01343","Apricots","2012","2012","tonnes","1102","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01343","Apricots","2013","2013","tonnes","519","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01343","Apricots","2014","2014","tonnes","546.14","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01343","Apricots","2015","2015","tonnes","379.63","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01343","Apricots","2016","2016","tonnes","917.85","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01343","Apricots","2017","2017","tonnes","655.13","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01343","Apricots","2018","2018","tonnes","867.16","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01343","Apricots","2019","2019","tonnes","735.07","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01343","Apricots","2020","2020","tonnes","414.01","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01343","Apricots","2021","2021","tonnes","618.67","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01343","Apricots","2001","2001","1000 US$","5051","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01343","Apricots","2002","2002","1000 US$","4834","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01343","Apricots","2003","2003","1000 US$","5255","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01343","Apricots","2004","2004","1000 US$","5116","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01343","Apricots","2005","2005","1000 US$","5697","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01343","Apricots","2006","2006","1000 US$","6945","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01343","Apricots","2007","2007","1000 US$","5426","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01343","Apricots","2008","2008","1000 US$","7562","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01343","Apricots","2009","2009","1000 US$","3575","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01343","Apricots","2010","2010","1000 US$","5256","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01343","Apricots","2011","2011","1000 US$","3830","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01343","Apricots","2012","2012","1000 US$","3177","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01343","Apricots","2013","2013","1000 US$","1900","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01343","Apricots","2014","2014","1000 US$","1726","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01343","Apricots","2015","2015","1000 US$","1586","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01343","Apricots","2016","2016","1000 US$","3309","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01343","Apricots","2017","2017","1000 US$","2515","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01343","Apricots","2018","2018","1000 US$","3662","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01343","Apricots","2019","2019","1000 US$","3168","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01343","Apricots","2020","2020","1000 US$","1943","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01343","Apricots","2021","2021","1000 US$","2562","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01343","Apricots","2001","2001","tonnes","8038","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01343","Apricots","2002","2002","tonnes","8087","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01343","Apricots","2003","2003","tonnes","8949","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01343","Apricots","2004","2004","tonnes","6945","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01343","Apricots","2005","2005","tonnes","6053","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01343","Apricots","2006","2006","tonnes","3787","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01343","Apricots","2007","2007","tonnes","7467","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01343","Apricots","2008","2008","tonnes","7827","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01343","Apricots","2009","2009","tonnes","5099","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01343","Apricots","2010","2010","tonnes","5739","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01343","Apricots","2011","2011","tonnes","6485","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01343","Apricots","2012","2012","tonnes","7649","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01343","Apricots","2013","2013","tonnes","7984","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01343","Apricots","2014","2014","tonnes","6988.96","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01343","Apricots","2015","2015","tonnes","5688.94","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01343","Apricots","2016","2016","tonnes","7212.79","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01343","Apricots","2017","2017","tonnes","7873.78","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01343","Apricots","2018","2018","tonnes","4657.98","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01343","Apricots","2019","2019","tonnes","5162.31","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01343","Apricots","2020","2020","tonnes","4070.72","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01343","Apricots","2021","2021","tonnes","6357.75","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01343","Apricots","2001","2001","1000 US$","8473","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01343","Apricots","2002","2002","1000 US$","9146","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01343","Apricots","2003","2003","1000 US$","9771","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01343","Apricots","2004","2004","1000 US$","8343","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01343","Apricots","2005","2005","1000 US$","10027","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01343","Apricots","2006","2006","1000 US$","7581","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01343","Apricots","2007","2007","1000 US$","12709","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01343","Apricots","2008","2008","1000 US$","14545","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01343","Apricots","2009","2009","1000 US$","9995","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01343","Apricots","2010","2010","1000 US$","11595","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01343","Apricots","2011","2011","1000 US$","13080","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01343","Apricots","2012","2012","1000 US$","15658","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01343","Apricots","2013","2013","1000 US$","16089","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01343","Apricots","2014","2014","1000 US$","14797","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01343","Apricots","2015","2015","1000 US$","11786","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01343","Apricots","2016","2016","1000 US$","13874","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01343","Apricots","2017","2017","1000 US$","17186","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01343","Apricots","2018","2018","1000 US$","9942","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01343","Apricots","2019","2019","1000 US$","10561","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01343","Apricots","2020","2020","1000 US$","8415","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01343","Apricots","2021","2021","1000 US$","13101","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01216","Artichokes","2001","2001","tonnes","1006","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01216","Artichokes","2002","2002","tonnes","1066","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01216","Artichokes","2003","2003","tonnes","723","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01216","Artichokes","2004","2004","tonnes","684","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01216","Artichokes","2005","2005","tonnes","806","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01216","Artichokes","2006","2006","tonnes","1226","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01216","Artichokes","2007","2007","tonnes","0","T","Unofficial figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01216","Artichokes","2008","2008","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01216","Artichokes","2009","2009","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01216","Artichokes","2010","2010","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01216","Artichokes","2011","2011","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01216","Artichokes","2012","2012","tonnes","3394","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01216","Artichokes","2013","2013","tonnes","3209","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01216","Artichokes","2014","2014","tonnes","2393.54","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01216","Artichokes","2015","2015","tonnes","1852.36","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01216","Artichokes","2016","2016","tonnes","1725.58","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01216","Artichokes","2017","2017","tonnes","1082.22","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01216","Artichokes","2018","2018","tonnes","1954.14","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01216","Artichokes","2019","2019","tonnes","2247.74","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01216","Artichokes","2020","2020","tonnes","3389.42","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01216","Artichokes","2021","2021","tonnes","2417.53","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01216","Artichokes","2001","2001","1000 US$","1155","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01216","Artichokes","2002","2002","1000 US$","1821","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01216","Artichokes","2003","2003","1000 US$","1053","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01216","Artichokes","2004","2004","1000 US$","1168","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01216","Artichokes","2005","2005","1000 US$","1579","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01216","Artichokes","2006","2006","1000 US$","2380","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01216","Artichokes","2007","2007","1000 US$","0","T","Unofficial figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01216","Artichokes","2008","2008","1000 US$","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01216","Artichokes","2009","2009","1000 US$","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01216","Artichokes","2010","2010","1000 US$","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01216","Artichokes","2011","2011","1000 US$","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01216","Artichokes","2012","2012","1000 US$","5300","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01216","Artichokes","2013","2013","1000 US$","5295","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01216","Artichokes","2014","2014","1000 US$","3498","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01216","Artichokes","2015","2015","1000 US$","2360","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01216","Artichokes","2016","2016","1000 US$","2865","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01216","Artichokes","2017","2017","1000 US$","1117","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01216","Artichokes","2018","2018","1000 US$","2295","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01216","Artichokes","2019","2019","1000 US$","1871","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01216","Artichokes","2020","2020","1000 US$","3731","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01216","Artichokes","2021","2021","1000 US$","3407","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01216","Artichokes","2001","2001","tonnes","3382","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01216","Artichokes","2002","2002","tonnes","2632","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01216","Artichokes","2003","2003","tonnes","2799","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01216","Artichokes","2004","2004","tonnes","7004","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01216","Artichokes","2005","2005","tonnes","5172","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01216","Artichokes","2006","2006","tonnes","3368","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01216","Artichokes","2007","2007","tonnes","0","T","Unofficial figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01216","Artichokes","2008","2008","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01216","Artichokes","2009","2009","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01216","Artichokes","2010","2010","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01216","Artichokes","2011","2011","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01216","Artichokes","2012","2012","tonnes","3045","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01216","Artichokes","2013","2013","tonnes","2416","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01216","Artichokes","2014","2014","tonnes","2140.84","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01216","Artichokes","2015","2015","tonnes","1507.54","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01216","Artichokes","2016","2016","tonnes","1737.78","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01216","Artichokes","2017","2017","tonnes","1847.01","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01216","Artichokes","2018","2018","tonnes","1959.94","A","Official figure"
